מספר חברה,שם חברה
464500,"משכנות הזהב בע""מ"
911586,משכנות יעקב - משה רחמים בית שאן
924391,משכנות כלל כפר סבא ב
28343,"משכנות כלל מגדלי הים התיכון בע""מ"
924390,משכנות כלל מגדלי הים
918120,"משכנות מ.א בע""מ"
912260,משכנות שאננים
917731,משקי דרום (משקי דן)
900757,משרד הבטחון כד
916961,משרד הבטחון   מנהר
921594,משרד הבטחון דימונה - ועד
907199,משרד הבטחון - מנהל ההרכשה והייצור
910444,משרד הבטחון אגף השיק
900071,משרד הביטחון
911770,משרד הביטחון ארגון ה
915346,משרד הביטחון - ההוצאה לאור
912606,משרד הביטחון  משבח
919051,משרד הביטחון ועד עובדים
910515,נופש חלומי בעמ
900162,נטלי חברה לרפואה דחו
917584,נטלי סקיולייף
913551,"נטלי פלוס בע""מ"
921006,"נטלי פלוס בע""מ"
910591,נעמת אשקלון ועד עובדות
911570,נעמת המחוז הערבי - שפרעם
905802,נעמת חיפה
911409,נעמת יחידת שרות הגליל
910365,נעמת כפר סבא
910366,נעמת מועצת הפועלים
910626,נעמת מרחב אשדוד
912307,נעמת מרחב אשדוד - ועד עובדים
912417,נעמת מרחב רחובות - ועד עובדות
904873,נעמת קרית מוצקין
912457,נעמת קרית מלאכי - ועד עובדות
905594,נעמת
910595,"נעמ""ת אילת"
910380,"נעמ""ת דן צפון/לוד"
903877,"נעמ""ת יבנה - מחוז השפלה"
901580,"נעמ""ת יהוד"
904117,"נעמ""ת ירושלים"
905010,"נעמ""ת לוד"
920928,"נעמ""ת מרכז"
910596,"נעמ""ת - באר טוביה"
900543,"נעמ""ת - מועצת פועלי חולון"
905009,"נעמ""ת פתח-תקווה"
901353,"נעמ""ת תל אביב"
911434,"נעמ""ת - באר טוביה ועד עובדות"
900297,עיריית נתניה ועד עובדים
